Name	20402_8#5	20402_8#6	20402_8#15	20402_8#16	20402_8#25	20402_8#26	Average (TPM)
TMUE_0000000148	0	0	0	0	0	0	0
TMUE_0000000149	0	0	0	2.857298	1.75592	0	0.768869667
TMUE_0000000150	37.93239	12.035468	93.670606	27.622554	77.05055	54.503974	50.469257
TMUE_0000000151	358.458298	127.084489	612.890756	156.115794	717.293498	523.21803	415.8434775
TMUE_0000000152	7.109842	5.2005	22.073342	1.673751	19.992049	16.624872	12.11239267
TMUE_0000000153	0	0	0	3.258568	0	0	0.543094667
TMUE_0000000154	16.131297	0	21.869952	9.77	17.005698	12.024232	12.8001965
TMUE_0000000155	0	0	0	5.967781	0	0	0.994630167
TMUE_0000000156	56.483592	33.853912	257.175117	46.944217	312.897552	151.056558	143.0684913
TMUE_0000000157	0	0	0	0	0	0	0
TMUE_0000000158	0	0	0	0	0	0	0
TMUE_0000000159	6.576297	0	1.127937	1.998789	3.109025	0	2.135341333
TMUE_0000000160	0	0.662844	0	0	2.171724	0.596241	0.5718015
TMUE_0000000161	0	0	0	0	0	0	0
TMUE_0000000162	17.455057	6.089563	11.163363	5.069902	12.669643	9.476046	10.32059567
TMUE_0000000163	0	0	0	0	0	0	0
TMUE_0000000164	0	1.616142	0	0	0	0	0.269357
TMUE_0000000165	33.918719	8.266043	28.407674	5.854548	46.182505	30.330741	25.49337167
TMUE_0000000166	0	16.791483	30.091995	4.7617	17.893189	17.351131	14.481583
TMUE_0000000167	126.984952	110.042407	438.087804	78.826369	45.085838	296.510532	182.5896503
TMUE_0000000168	0	0	0	0	0	0	0
TMUE_0000000169	0	12.625834	85.235785	0	12.117331	0	18.329825
TMUE_0000000170	0	0	0	0	0	0	0
TMUE_0000000171	0	0	6.562351	7.702274	4.533754	7.234741	4.338853333
TMUE_0000000172	0	0	0	0	0	0	0
TMUE_0000000173	0	0	0	0	0	0	0
TMUE_0000000174	0	0	0	0	0	2.989777	0.498296167
TMUE_0000000175	0	0	0	0	0	0	0
TMUE_0000000176	0	0	7.324763	0	0	8.115994	2.5734595
TMUE_0000000177	0	0	1.069483	0	0	0	0.178247167
TMUE_0000000178	136.2422	39.777079	34.832449	35.868315	45.165746	60.506857	58.73210767
TMUE_0000000179	54.748657	33.407343	75.595725	28.980675	114.409585	80.67094	64.6354875
TMUE_0000000180	0	2.186074	0	0	3.633685	3.888892	1.6181085
TMUE_0000000181	0	0	0	0	0	1.275812	0.212635333
TMUE_0000000182	19.051433	93.197782	68.104054	17.226101	87.557777	120.948714	67.68097683
TMUE_0000000183	27.513871	7.788481	34.342849	16.560669	25.922302	37.667924	24.966016
TMUE_0000000184	73.046608	62.776987	86.762816	22.246157	117.331609	60.568774	70.45549183
TMUE_0000000185	0	4.107868	4.914747	4.368632	10.97586	17.504569	6.978612667
TMUE_0000000186	30.689162	24.541488	99.326345	21.41834	106.998722	78.79856	60.29543617
TMUE_0000000187	0	0	2.022178	0	4.160515	3.665118	1.641301833
TMUE_0000000188	0	0	12.524872	0	0	0	2.087478667
TMUE_0000000189	0	0	0	0	0	0	0
TMUE_0000000190	0	0	0	0.296422	0	0	0.049403667
TMUE_0000000191	0	0	0	0	0	1.443682	0.240613667
TMUE_0000000192	0	3.130996	0.62336	0	3.195692	0	1.158341333
TMUE_0000000193	0	0	0	0	0	0	0
TMUE_0000000194	63.754092	0	5.438226	0	0	6.089824	12.54702367
TMUE_0000000195	84.552364	15.348696	109.325567	29.656836	135.871983	83.64025	76.39928267
TMUE_0000000196	0	9.133108	161.52214	13.564725	146.630345	82.775159	68.9375795
