gene_id	ERR279692	ERR279673	ERR279674	ERR279675	ERR279676	ERR279677	ERR279678	ERR279679	ERR279680	ERR279681	ERR279682	ERR279683	ERR279685	ERR279684	ERR279686	ERR279687	ERR279688	ERR279689	ERR279690	ERR279691
WBGene00292676	0	4.84	2.17	13.85	7.87	13.27	12.49	40.47	20.15	6.21	7.94	8.83	6.81	2.7	10.33	12.51	7.47	22.43	17.68	23.51
WBGene00292677	2.97	5.69	5.28	10.67	14.55	16.55	9.73	28.01	20.07	9.81	6.46	5.74	3.69	8.77	14.89	17.36	10.62	17.72	27.82	27.23
WBGene00292679	121.99	42.58	63.81	63.77	64.02	72.94	58.51	84.2	53.37	32.11	43.14	19.89	33.04	35.96	45.97	58.21	43.07	62.6	65.71	67.27
WBGene00292680	26.67	9.14	14.3	11.88	12.4	14.76	9.64	12.99	8.89	6.96	7.07	4.74	4.79	6.26	9.54	12.37	10.59	8.77	10.83	9.43
WBGene00292681	27.47	16.68	25.5	24.63	27.82	29.76	32.42	39.06	25.72	27.02	28.17	7.9	7.57	8.04	30.12	39.97	27.71	19.87	27.71	25.72
WBGene00292682	6.63	31.04	49.19	38.79	30.81	42.18	27.55	61.07	47.97	10.75	11.78	5.71	5.88	7.12	12.21	17.88	10.78	38.84	54.07	47.88
WBGene00292683	22.78	8.49	17.09	15.39	18.93	26.61	13.42	21.67	18.26	7.13	8.27	3.77	5.23	4.79	12.11	16.32	12.34	16.81	17.39	18.38
WBGene00292685	128.26	91.46	139.77	113.74	123.96	142.14	96.45	184.09	131.91	38.02	39.59	49.58	43.78	47.02	42.8	54.76	45.42	115.25	157.16	126.56
WBGene00292686	20.8	17.5	29.49	26.88	21.74	22.71	25.02	23.66	14.02	15.21	28.53	10.21	10.51	10.08	28	34.59	26.15	19	22.68	21.63
WBGene00292688	2.61	0.69	0.73	0.4	0.73	1.23	0.91	1.27	1.02	0.25	0.26	0.24	0.25	0.5	0.39	0.41	0.22	0.3	1.21	1.25
WBGene00292689	4.93	8.35	12.34	10.98	8.53	13.53	11	9.1	11.22	5.2	7.14	4.57	2.96	5.06	3.91	6.13	3.88	4.18	7.57	8.17
WBGene00292690	10.9	6.59	5.4	6.94	8.11	11.5	8.1	16.99	10.01	4.67	6.53	1.4	1.68	1.63	7.38	11.02	7.62	11.43	12.63	14.7
WBGene00292691	78.84	18.64	19.74	21.03	46	52.87	43.35	29.94	19.25	35.75	56.16	9.22	11.69	11.91	63.82	88.59	56.06	20.7	25.05	26.46
WBGene00292692	36.36	26.36	31.92	28.8	23.02	25.3	18.65	18.73	12.81	7.29	9.78	30.74	32.94	35.44	9.01	12.93	7.48	10.14	12.46	16.44
WBGene00292695	2.2	0.65	1.31	2.49	1.73	1.25	1.36	0.87	0.81	0.21	0.38	0	0.18	0.36	1.04	0.3	0.56	1.03	2.06	2.29
WBGene00292696	60.01	21.96	26.02	28.36	37.88	42.75	40.49	79.54	45.52	10.72	12.64	4.46	7.87	8.22	12.22	21.14	9.79	38.83	47.11	57.92
WBGene00292697	56.83	20.72	23.78	21.39	19	23.18	18.45	24.46	18.28	8.25	10.6	20.87	21.33	20.79	13.02	19.54	11.93	18.05	18.94	21.86
WBGene00292698	1.93	7.05	5.8	5.24	71.12	127.96	128.47	272.36	198.74	1.02	5.13	0.37	1.92	2.28	1.98	5.91	2.56	130.07	206.63	316.28
WBGene00292699	167.85	73.25	122.84	96.3	83.42	100.19	68.01	87.5	58.01	21.7	34.16	22.2	31.9	32.71	25.05	41.81	22.75	47.86	63.4	68.48
WBGene00292700	96.91	60.23	69.18	51.74	39	49.05	39.26	36.34	26.15	12.65	21.51	21.93	20.5	21.64	18.52	32.51	20.01	16.96	25.58	28.47
WBGene00292701	19.39	11.52	16.7	13.15	10.41	13.45	9.66	19.56	12.37	2.77	4.06	1.93	2.02	1.65	2.39	4.01	3.15	8.53	11.23	13.32
WBGene00292702	42.6	37.11	40.57	37.64	54.36	63.56	45.61	71.2	45.8	16.31	22.8	8.05	7.89	11.71	31.27	33.22	27.74	38.24	47.76	49.47
WBGene00292704	69.91	44.01	63.46	52.85	32.18	53.23	33.4	56.51	33.26	20.32	24.4	8.4	9.66	10.2	17.4	27.28	15.88	31.28	33.15	40.26
WBGene00292705	15.72	15.08	11.27	10.86	8.13	11.31	6.74	8.25	5.1	3.24	3.89	10.34	9.92	10.85	3.66	6.27	3.06	5.23	6.17	7.58
WBGene00292706	0.54	2.12	1.14	1.58	2.54	3.13	1.84	4.07	1.88	0.61	1.65	2.78	2.15	2.48	2.22	4.49	2.11	4.79	4.15	4.21
WBGene00292707	154.28	145.39	156.76	137.43	87.19	93.54	74.11	88.64	58.05	36.93	55.11	46.51	46.45	55.16	67.35	96.56	68.49	61.41	84.49	73.21
WBGene00292708	3.34	2.46	2.64	4	7.19	12.13	7.6	14.95	16.11	0.94	0.85	4.03	3.32	1.64	2.14	2.69	1.28	11.12	13.02	15.62
WBGene00292709	129.58	60.17	77.03	74.65	50.79	58.68	48.73	68.34	43.49	24.53	33.64	29.82	22.57	31.34	28.52	43.94	29.94	42.38	44.03	47.75
WBGene00292710	142.69	92.94	130.04	138.74	96.17	82.71	66.1	80.07	70.14	49.69	52.51	42.55	35.83	50.34	57.13	91.37	54.29	57.09	44.42	78.03
WBGene00292711	110.49	57.49	60.95	64.42	50.34	59.49	46.13	58.54	37.09	21.11	28.71	30.96	27.21	35.17	23.57	39.93	27.6	34.16	41.12	45.88
WBGene00292712	33.8	32.34	31.55	24.06	11.48	13.84	13.35	11.28	6.53	6.04	9.99	12.51	12.02	21.15	3.45	6.39	3.31	3.08	2.74	4.38
WBGene00292713	0	0.06	0.08	0.15	58.06	68.3	51.77	185.4	127.52	0.11	0.1	0.09	0.05	0	0	0.23	0.1	75.42	94.03	100.96
WBGene00292714	0	0.41	0.27	0	10.83	15.9	10.23	35.5	26.86	0.07	0.26	0	0	0	0	0	0	17.81	22.43	21.96
WBGene00292715	1.36	4.02	2.7	5.18	23.81	21.5	26.05	15.13	11.67	31.57	35.43	5.28	4.75	8.74	40.52	61.89	47.26	16.76	18.33	15.18
WBGene00292718	79.02	69.81	84.2	79.99	31.42	37.73	34.91	25.92	11.06	14.7	23.43	75.29	113.1	136.45	10.01	7.85	5.85	7.64	7.87	4.47
WBGene00292719	37.54	38.08	43.26	32.11	23.35	27.04	23.54	28.19	20.22	7.43	11.48	9.12	6.18	8.51	7.86	15.61	8.32	12.48	17.92	17.51
WBGene00292720	33.69	25.06	30.46	23.04	32.44	41.05	34.07	47.12	31.85	12.12	19.47	4.06	4.67	7.22	8.78	17.36	9.55	16.25	24.56	29.84
WBGene00292721	22.68	14.21	8.78	13.48	5.67	13.56	6.32	7.28	4.26	2.73	6.42	4.2	3.36	1.43	3.97	12.84	7.65	5.08	7.53	12.8
WBGene00292722	4.12	1.34	2.28	1.73	22.71	24.48	24.38	60.19	44.71	0.7	0.84	0.7	0.62	0.81	1.43	1.58	1.05	29.52	37.41	51.08
WBGene00292723	86.97	47.19	59.77	51.49	60.09	79.35	57.48	115.87	84.31	12.35	18.97	11.82	15.47	19.06	12.24	21.7	12.13	45.27	61.55	77.44
WBGene00292724	0	0.16	0.44	0	12.46	11.35	12.07	33.66	18	0	0	0	0	0	0	0	0	15.65	22.11	28.71
WBGene00292725	28.22	19.24	22.31	20.54	22.68	26.32	20.63	21.43	15.57	9.92	16.7	15.45	14.66	12.41	15.6	19.89	14.6	19.43	21.06	18.14
WBGene00292726	3.11	0.72	1.93	0.86	106.24	117.57	89.8	283.23	205.51	0.82	0.62	0.65	0.81	0.4	0.63	0.87	0.9	104.06	148.65	180.33
WBGene00292728	7.85	3.85	5.9	4.68	4.59	5.11	4.36	6.94	5.85	1.73	1.79	2.03	2.05	2.38	1.67	3.19	1.76	4.13	5.13	4.77
WBGene00292729	0	1.71	2.29	0.83	32.75	30.47	27.22	84.07	67.33	0.31	0.32	0	0	0.61	0.85	1.17	0.42	39.19	47.53	51.64
